PART.name,Category,Mod
argon-0625-1,FuelTank,NearFuturePropulsion
argon-0625-2,FuelTank,NearFuturePropulsion
argon-0625-3,FuelTank,NearFuturePropulsion
argon-125-1,FuelTank,NearFuturePropulsion
argon-125-2,FuelTank,NearFuturePropulsion
argon-125-3,FuelTank,NearFuturePropulsion
argon-25-1,FuelTank,NearFuturePropulsion
argon-25-2,FuelTank,NearFuturePropulsion
argon-25-3,FuelTank,NearFuturePropulsion
argon-radial-0625-1,Propulsion,NearFuturePropulsion
argon-radial-125-1,Propulsion,NearFuturePropulsion
ionArgon-0625-2,Propulsion,NearFuturePropulsion
ionArgon-0625-3,Propulsion,NearFuturePropulsion
ionArgon-0625,Propulsion,NearFuturePropulsion
ionXenon-0625-2,Propulsion,NearFuturePropulsion
ionXenon-0625-3,Propulsion,NearFuturePropulsion
ionXenon-0625,Propulsion,NearFuturePropulsion
mpdt-0625,Propulsion,NearFuturePropulsion
mpdt-125,Propulsion,NearFuturePropulsion
mpdt-25,Propulsion,NearFuturePropulsion
pit-0625,Propulsion,NearFuturePropulsion
pit-125,Propulsion,NearFuturePropulsion
pit-25,Propulsion,NearFuturePropulsion
vasimr-0625,Propulsion,NearFuturePropulsion
vasimr-125,Propulsion,NearFuturePropulsion
vasimr-25,Propulsion,NearFuturePropulsion
lithium-0625-1,FuelTank,NearFuturePropulsion
lithium-0625-2,FuelTank,NearFuturePropulsion
lithium-0625-3,FuelTank,NearFuturePropulsion
lithium-125-1,FuelTank,NearFuturePropulsion
lithium-125-2,FuelTank,NearFuturePropulsion
lithium-125-3,FuelTank,NearFuturePropulsion
lithium-25-1,FuelTank,NearFuturePropulsion
lithium-25-2,FuelTank,NearFuturePropulsion
lithium-25-3,FuelTank,NearFuturePropulsion
lithium-radial-0625-1,Propulsion,NearFuturePropulsion
lithium-radial-125-1,Propulsion,NearFuturePropulsion
rcsblock-gridded-01,Control,NearFuturePropulsion
rcsblock-hall-01,Control,NearFuturePropulsion
rcsblock-mpdt-quad-01,Control,NearFuturePropulsion
rcsblock-mpdt-quad-02,Control,NearFuturePropulsion
rcsblock-mpdt-quint-01,Control,NearFuturePropulsion
rcsblock-mpdt-quint-02,Control,NearFuturePropulsion
rcsblock-mpdt-single-01,Control,NearFuturePropulsion
rcsblock-mpdt-single-02,Control,NearFuturePropulsion
rcsblock-mpdt-triple-01,Control,NearFuturePropulsion
rcsblock-mpdt-triple-02,Control,NearFuturePropulsion
rcsblock-pulsedplasma-01,Control,NearFuturePropulsion
cryoseperator-25,none,NearFuturePropulsion
gasspectrometer-01,none,NearFuturePropulsion
xenon-125-1,FuelTank,NearFuturePropulsion
xenon-125-2,FuelTank,NearFuturePropulsion
xenon-125-3,FuelTank,NearFuturePropulsion
xenon-25-1,FuelTank,NearFuturePropulsion
xenon-25-2,FuelTank,NearFuturePropulsion
xenon-25-3,FuelTank,NearFuturePropulsion
xenon-radial-125-1,FuelTank,NearFuturePropulsion
