PART.name,Category,
KRE-AeroLeg-L,Ground,KerbalReusabilityExpansion
KRE-AeroLeg-M,Ground,KerbalReusabilityExpansion
ITSLeg-L-KRE,none,KerbalReusabilityExpansion
ITSLeg-M-KRE,none,KerbalReusabilityExpansion
BoosterWingKRE,Aero,KerbalReusabilityExpansion
BoosterWingsMountKRE,Aero,KerbalReusabilityExpansion
HotGasThruster-L,Control,KerbalReusabilityExpansion
HotGasThruster-M,Control,KerbalReusabilityExpansion
CapsuleDockingPort1,Coupling,KerbalReusabilityExpansion
SmallCapsuleEngine,Engine,KerbalReusabilityExpansion
SmallCapsuleEngineRCS,Engine,KerbalReusabilityExpansion
DragonFuelTank,FuelTank,KerbalReusabilityExpansion
Grid Fin L,Aero,KerbalReusabilityExpansion
Grid Fin M,Aero,KerbalReusabilityExpansion
Grid Fin S,Aero,KerbalReusabilityExpansion
Grid Fin L Titanium,Aero,KerbalReusabilityExpansion
Grid Fin M Titanium,Aero,KerbalReusabilityExpansion
Grid Fin S Titanium,Aero,KerbalReusabilityExpansion
Heatshield-M,Thermal,KerbalReusabilityExpansion
KRE-HexLegsMountL,Ground,KerbalReusabilityExpansion
KRE-HexLegsMountM,Ground,KerbalReusabilityExpansion
KRE-HexLegsL,Ground,KerbalReusabilityExpansion
KRE-HexLegsM,Ground,KerbalReusabilityExpansion
HexLegsMountL,none,KerbalReusabilityExpansion
HexLegsMountM,none,KerbalReusabilityExpansion
HexLegsL,none,KerbalReusabilityExpansion
HexLegsM,none,KerbalReusabilityExpansion
KRE-ShepardLeg-M,Ground,KerbalReusabilityExpansion
KRE-ShepardLeg-S,Ground,KerbalReusabilityExpansion
ShepardLeg-M,none,KerbalReusabilityExpansion
ShepardLeg-S,none,KerbalReusabilityExpansion
KRE-FalconLeg-L,Ground,KerbalReusabilityExpansion
KRE-FalconLeg-M,Ground,KerbalReusabilityExpansion
KRE-FalconLeg-S,Ground,KerbalReusabilityExpansion
KRE-FalconLegMk2-L,Ground,KerbalReusabilityExpansion
KRE-FalconLegMk2-M,Ground,KerbalReusabilityExpansion
SpaceXLegs-XL,none,KerbalReusabilityExpansion
SpaceXLegs-L,none,KerbalReusabilityExpansion
SpaceXLegs-S,none,KerbalReusabilityExpansion
TrunkServiceModule,Payload,KerbalReusabilityExpansion
TrunkFin,Aero,KerbalReusabilityExpansion
