PART.name,Category,
nflv-drone-core-5-1,Pods,NearFutureLaunchVehicles
nflv-drone-core-75-1,Pods,NearFutureLaunchVehicles
nflv-decoupler-5-1,Coupling,NearFutureLaunchVehicles
nflv-decoupler-75-1,Coupling,NearFutureLaunchVehicles
nflv-decoupler-radial-1,Coupling,NearFutureLaunchVehicles
nflv-docking-5-1,Coupling,NearFutureLaunchVehicles
nflv-separator-5-1,Coupling,NearFutureLaunchVehicles
nflv-separator-75-1,Coupling,NearFutureLaunchVehicles
nflv-battery-stack-5-1,Electrical,NearFutureLaunchVehicles
nflv-battery-stack-75-1,Electrical,NearFutureLaunchVehicles
nflv-engine-ar1-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-ar1c-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-m1d-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-m1d-vac-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-rd701-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-rd704-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-rs84-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-rutherford-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-rutherford-vac-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-stbe-kero-1,Propulsion,NearFutureLaunchVehicles
nflv-engine-tr107-1,Propulsion,NearFutureLaunchVehicles
nflv-fueltank-5-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-5-2,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-5-3,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-5-4,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-75-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-75-2,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-75-3,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-75-4,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-75-5,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-adapter-5-375-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-adapter-5-375-2,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-adapter-5-375-3,FuelTank,NearFutureLaunchVehicles
nflv-nflv-fueltank-adapter-5-375-4,Structural,NearFutureLaunchVehicles
nflv-fueltank-adapter-75-5-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-adapter-75-5-2,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-nosecone-5-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-nosecone-75-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-round-5-1,FuelTank,NearFutureLaunchVehicles
nflv-fueltank-round-75-1,FuelTank,NearFutureLaunchVehicles
nflv-skeletal-adapter-5-375-1,FuelTank,NearFutureLaunchVehicles
nflv-skeletal-adapter-75-5-1,FuelTank,NearFutureLaunchVehicles
nflv-cargo-5-1,Payload,NearFutureLaunchVehicles
nflv-cargo-5-2,Payload,NearFutureLaunchVehicles
nflv-cargo-5-3,Payload,NearFutureLaunchVehicles
nflv-cargo-5-4,Payload,NearFutureLaunchVehicles
nflv-cargo-75-1,Payload,NearFutureLaunchVehicles
nflv-cargo-75-2,Payload,NearFutureLaunchVehicles
nflv-cargo-75-3,Payload,NearFutureLaunchVehicles
nflv-cargo-75-4,Payload,NearFutureLaunchVehicles
nflv-cargo-nose-5-1,Payload,NearFutureLaunchVehicles
nflv-cargo-nose-75-1,Payload,NearFutureLaunchVehicles
nflv-fairing-5-1,Payload,NearFutureLaunchVehicles
nflv-fairing-75-1,Payload,NearFutureLaunchVehicles
nflv-service-bay-5-1,Payload,NearFutureLaunchVehicles
nflv-service-bay-75-1,Payload,NearFutureLaunchVehicles
nflv-rcs-aero-heavy-1,Control,NearFutureLaunchVehicles
nflv-rcs-aero-heavy-2,Control,NearFutureLaunchVehicles
nflv-rcs-heavy-1x-1,Control,NearFutureLaunchVehicles
nflv-rcs-heavy-1x-2,Control,NearFutureLaunchVehicles
nflv-rcs-heavy-4x-1,Control,NearFutureLaunchVehicles
nflv-rcs-heavy-4x-2,Control,NearFutureLaunchVehicles
nflv-rcs-integrated-3x-1,Control,NearFutureLaunchVehicles
nflv-rcs-integrated-4x-1,Control,NearFutureLaunchVehicles
nflv-rcs-integrated-4x-2,Control,NearFutureLaunchVehicles
nflv-cargo-tube-5-1,Payload,NearFutureLaunchVehicles
nflv-cargo-tube-75-1,Payload,NearFutureLaunchVehicles
nflv-cluster-mount-lower-5-1,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-lower-5-2,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-lower-5-3,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-lower-5-4,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-lower-75-1,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-lower-75-2,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-upper-5-1,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-upper-5-2,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-upper-5-3,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-upper-75-1,Structural,NearFutureLaunchVehicles
nflv-cluster-mount-upper-75-2,Structural,NearFutureLaunchVehicles
