PART.name,Category,
pp.vvthin,Structural,PhotonCorp
pp.vvmach,Aero,PhotonCorp
pp.vvwingtip,Aero,PhotonCorp
pp.vvground,Structural,PhotonCorp
pp.vvthick,Structural,PhotonCorp
pp.vvmach,Aero,PhotonCorp
pp.vvwingtip,Aero,PhotonCorp
pp.vvground,Structural,PhotonCorp
pp.vvthick,Structural,PhotonCorp
PC.1Seg.RSRM,Engine,PhotonCorp
PC.1.875m.Adapter,Structural,PhotonCorp
PC.2Seg.RSRM,Engine,PhotonCorp
PC.2.25.Decoupler,Coupling,PhotonCorp
PC.2.5m.Adapter,Structural,PhotonCorp
PC.3Seg.RSRM,Engine,PhotonCorp
PC.3.125m.Adapter,Structural,PhotonCorp
PC.4Seg.RSRM,Engine,PhotonCorp
PC.5Seg.RSRM,Engine,PhotonCorp
PC.Nose,Engine,PhotonCorp
PC.RSRM.Avionics,Pods,PhotonCorp
pp.vvthin,Structural,PhotonCorp
pp.vvmach,Aero,PhotonCorp
pp.vvwingtip,Aero,PhotonCorp
pp.vvground,Structural,PhotonCorp
pp.vvthick,Structural,PhotonCorp
pp.vvmach,Aero,PhotonCorp
pp.vvwingtip,Aero,PhotonCorp
pp.vvground,Structural,PhotonCorp
pp.vvthick,Structural,PhotonCorp
