PART.name,Category,
TE.19.F910.S1.Engine,Engine,TundraExploration
TE.19.F910.S1.Tank,Propulsion,TundraExploration
TE.19.F910.S2.Engine,Engine,TundraExploration
TE.19.F910.S2.Tank,FuelTank,TundraExploration
TE.21.F1.Fairing.Half,Payload,TundraExploration
TE.F1.Interstage,Coupling,TundraExploration
TE.F1.PayloadFairing,Payload,TundraExploration
TE.F1.S1.Engine,Engine,TundraExploration
TE.F1.S1.Tank,Propulsion,TundraExploration
TE.F1.S2.Engine,Engine,TundraExploration
TE.F1.S2.Tank,Propulsion,TundraExploration
TE.Ghidorah.Erector,Structural,TundraExploration
TE.Ghidorah.Erector.2,Structural,TundraExploration
TE.Ghidorah.Erector.3,Structural,TundraExploration
TE2.19.F9.CGT,Control,TundraExploration
TE2.19.F9.Merlin.1D,Propulsion,TundraExploration
TE.19.F9.Fairing,Payload,TundraExploration
TE.F9.Fairing.Adapter,Payload,TundraExploration
TE.19.F9.S1.Engine,Propulsion,TundraExploration
TE.19.F9.S1.Interstage,Coupling,TundraExploration
TE.19.F9.S1.Octaweb,Structural,TundraExploration
TE.19.F9.S1.Tank,Propulsion,TundraExploration
TE.19.F9.S2.Engine,Engine,TundraExploration
TE.19.F9.S2.Tank,Propulsion,TundraExploration
TE.19.FH.NoseCone,Pods,TundraExploration
TE.21.F9.Extended.Fairing,Payload,TundraExploration
TE.21.Rideshare.Adapter.0625,Payload,TundraExploration
TE.21.Rideshare.Adapter.TOP,Payload,TundraExploration
TE.FH.Decoupler,Coupling,TundraExploration
TT.21.Rideshare.Adapter.03125,Payload,TundraExploration
TE.19.C-Dragon.Heatshield,Thermal,TundraExploration
TE.19.C-Dragon.Pod,Pods,TundraExploration
TE.CargoV2.Panel,Electrical,TundraExploration
TE.19.C-Dragon.Trunk,Payload,TundraExploration
TE.19.C.Dragon.Decoupler,Coupling,TundraExploration
TE.19.C-Dragon.Nosecone,Aero,TundraExploration
TE.19.C.Dragon.Solar.Shield,Aero,TundraExploration
TE.21.DXL.Docking,Pods,TundraExploration
TE.21.DXL.RCS,Control,TundraExploration
TE.21.DXL.Storage,Cargo,TundraExploration
TE.21.DXL.Utility,Utility,TundraExploration
TE2.19.BFS.SL.RAPTOR,Engine,TundraExploration
TE2.19.SH.Engine,Engine,TundraExploration
TE2.19.SH.GRIDFIN,Aero,TundraExploration
TE2.19.SH.HGT,Control,TundraExploration
TE2.19.SH.Interstage,Pods,TundraExploration
TE2.19.SH.Tank,Propulsion,TundraExploration
TE2.19.SS.AFT,Payload,TundraExploration
TE2.19.SS.CARGO,Pods,TundraExploration
TE2.19.SS.Crew.Pod,Pods,TundraExploration
TE2.19.SS.FF.L,Aero,TundraExploration
TE2.19.SS.FF.R,Aero,TundraExploration
TE2.19.SS.Fuel.Tank,FuelTank,TundraExploration
TE2.19.SS.RF.L,Aero,TundraExploration
TE2.19.SS.RF.R,Aero,TundraExploration
TE2.19.SS.RPTR.VAC,Engine,TundraExploration
TE2.21.SN8,Pods,TundraExploration
TE2.21.SN.LEG,Ground,TundraExploration
TE.18.DRAGONV2.HEATSHIELD,Thermal,TundraExploration
TE.18.DRAGONV2.POD,Pods,TundraExploration
TE.18.DRAGONV2.TRUNK,Payload,TundraExploration
TE.20.CargoRodan,Pods,TundraExploration
