PART.name,Category,
TT.19.IRI.ADAPTER,Structural,TundraTechnologies
TT.19.IRI.AIRONE,Communication,TundraTechnologies
TT.19.IRI.ANTENNA.1,Communication,TundraTechnologies
TT.19.IRI.ANTENNA.2,Communication,TundraTechnologies
TT.19.IRI.BODY,Pods,TundraTechnologies
TT.19.IRI.SOLAR,Electrical,TundraTechnologies
TT.19.NH.Antenna,Communication,TundraTechnologies
TT.19.NH.BODY,Pods,TundraTechnologies
TT.19.NH.Generator,Electrical,TundraTechnologies
TT.19.NH.RCS.1,Control,TundraTechnologies
TT.19.NH.RCS.2,Control,TundraTechnologies
TT.19.NH.RCS.3,Control,TundraTechnologies
TT.19.NH.RCS.4,Control,TundraTechnologies
TT.20.SL.Dish,Communication,TundraTechnologies
