PART.name,Category,
DIRECT.5m.fairing,Payload,reDIRECT
DIRECT.5m.separator,Coupling,reDIRECT
DIRECT.jupiterAdapter.3-5,Structural,reDIRECT
DIRECT.jupiter.engineMount,Structural,reDIRECT
DIRECT.jupiter.tank,Propulsion,reDIRECT
DIRECT.JUS.engineMount,Structural,reDIRECT
DIRECT.JUS.tank,Propulsion,reDIRECT
DIRECT.KL10.B,Engine,reDIRECT
DIRECT.SLS.engineMount,Structural,reDIRECT
DIRECT.SLS.tank,Propulsion,reDIRECT
DIRECT.STS.endCap,Propulsion,reDIRECT
DIRECT.STS.nose,Propulsion,reDIRECT
DIRECT.STS.tank,Propulsion,reDIRECT
DIRECT.STS.tank.stack,Propulsion,reDIRECT
STS.ET.decoupler,Coupling,reDIRECT
DIRECT.SRB.2,Propulsion,reDIRECT
DIRECT.SRB.4,Propulsion,reDIRECT
DIRECT.SRB.5,Propulsion,reDIRECT
DIRECT.SRB.adapter1,Structural,reDIRECT
DIRECT.SRB.cone,Aero,reDIRECT
DIRECT.SRB.decoupler,Coupling,reDIRECT
DIRECT.SSME.B,Propulsion,reDIRECT
DIRECT.LaunchEscapeSystem,Utility,reDIRECT
DIRECT.Orion,Pods,reDIRECT
DIRECT.orionHeatShield,Thermal,reDIRECT
DIRECT.orionServiceCone,Structural,reDIRECT
DIRECT.orionSolarPanel,Electrical,reDIRECT
DIRECT.orionAvionicsRing,Coupling,reDIRECT
DIRECT.orion.RCSBlock,Control,reDIRECT
DIRECT.orion.LinearRCSBlock,Control,reDIRECT
DIRECT.orion.ServiceModule,FuelTank,reDIRECT
DIRECT.ares1.adapter2,Structural,reDIRECT
DIRECT.ares1.adapter3,Structural,reDIRECT
DIRECT.ares1.avioncsRing,Control,reDIRECT
DIRECT.ares1.interTank,Propulsion,reDIRECT
DIRECT.ares1.mainTank,Propulsion,reDIRECT
DIRECT.ares1.rcsRing,Coupling,reDIRECT
DIRECT.ares1.srbAdapter,Structural,reDIRECT
DIRECT.ares1.stage2adapter,Structural,reDIRECT
DIRECT.Orion.FairingBase,Payload,reDIRECT
DIRECT.SLS.ICPS,Propulsion,reDIRECT
DIRECT.payloadAdapter1,Structural,reDIRECT
DIRECT.fairingSize2-3,Payload,reDIRECT
DIRECT.K2X,Engine,reDIRECT
