PART_name,SSS Category,Tier,Mod,
bluedog_LOantenna,bases,11,Bluedog_DB,"@PART[bluedog_LOantenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = bases11

}"
bluedog_LOdish,debug,,,
bluedog_Apollo_AARDV_Cargo_Block1,debug,,,
bluedog_Apollo_AARDV_Core,debug,,,
bluedog_Apollo_AARDV_Nose,debug,,,
bluedog_Apollo_AARDV_Plate,debug,,,
bluedog_Apollo_Block2_highGain,debug,,,
bluedog_Apollo_Block2_SM,debug,,,
bluedog_Apollo_Block2_SPS,debug,,,
bluedog_Apollo_Block3_highGain,debug,,,
bluedog_Apollo_Block3_SM,debug,,,
bluedog_Apollo_Block5_highGain,debug,,,
bluedog_Apollo_Block5_SolarPanel,debug,,,
bluedog_Apollo_CADS_active,debug,,,
bluedog_Apollo_CADS_passive,debug,,,
bluedog_Apollo_ConeDockingPort,debug,,,
bluedog_Apollo_CrewPod,debug,,,
bluedog_Apollo_CrewPod_5crew,debug,,,
bluedog_Apollo_Decoupler,debug,,,
bluedog_Apollo_DockingSpotlight,debug,,,
bluedog_Apollo_DopplerAntenna,debug,,,
bluedog_Apollo_DrogueChute,debug,,,
bluedog_Apollo_EngineMount,debug,,,
bluedog_Apollo_EVAFloodlight,debug,,,
bluedog_Apollo_Heatshield,debug,,,
bluedog_Apollo_LES,debug,,,
bluedog_Apollo_MainChute,debug,,,
bluedog_Apollo_ParachuteCover,debug,,,
bluedog_Apollo_ProbeDockingPort,debug,,,
bluedog_Apollo_RCS_3Way,debug,,,
bluedog_Apollo_RCS_Quad,debug,,,
bluedog_Apollo_RCS_Sideways,debug,,,
bluedog_Apollo_ScimitarAntenna,debug,,,
bluedog_LM_Antenna_EVA,debug,,,
bluedog_LM_Ascent_Cockpit,debug,,,
bluedog_LM_Ascent_Engine,debug,,,
bluedog_LM_CosmicRayDetector,debug,,,
bluedog_LM_Descent_Engine,debug,,,
bluedog_LM_Descent_Leg,debug,,,
bluedog_LM_Descent_Separator,debug,,,
bluedog_LM_Descent_Tanks,debug,,,
bluedog_LM_Goo,debug,,,
bluedog_LM_MESA,debug,,,
bluedog_Apollo_dipoleAntenna,debug,,,
bluedog_Apollo_SIMbay_alphaXraySpectrometer,debug,,,
bluedog_Apollo_SIMbay_GRS,debug,,,
bluedog_Apollo_SIMbay_IR_radiometer,debug,,,
bluedog_Apollo_SIMbay_mappingCamera,debug,,,
bluedog_Apollo_SIMbay_MasSpec,debug,,,
bluedog_Apollo_SIMbay_PanoramicCamera,debug,,,
bluedog_Apollo_SIMbay_radar,debug,,,
bluedog_Apollo_SIMbay_radarRecorder,debug,,,
bluedog_Apollo_SIMbay_subSatellite,debug,,,
bluedog_Apollo_SIMbay_subSatellite_dispenser,debug,,,
bluedog_Apollo_SIMbay_UVspectrometer,debug,,,
bluedog_Apollo_VHFantenna,debug,,,
bluedog_E1_engine,debug,,,
bluedog_FairingBase_4p25m,debug,,,
bluedog_FairingBase_6p25m,debug,,,
bluedog_RAE_VCPS_Decoupler,debug,,,
bluedog_FairingBase_4p25m_SAF,debug,,,
bluedog_FairingBase_6p25m_SAF,debug,,,
bluedog_Skylab_airlockModule_SAF,debug,,,
bluedog_spacelab_forwardAdapter_SAF,debug,,,
bluedog_S2_M1_mount,debug,,,
bluedog_Saturn_4p25m_adapters,debug,,,
bluedog_Saturn_5m_adapter,debug,,,
bluedog_Saturn_6p25m_adapter,debug,,,
bluedog_Saturn_AJ260_Inline,debug,,,
bluedog_Saturn_AJ260_Nose,debug,,,
bluedog_Saturn_AJ260_Radial,debug,,,
bluedog_Saturn_AJ260_RadialDecoupler,debug,,,
bluedog_Saturn_LRB_EngineMount,debug,,,
bluedog_Saturn_LRB_Tank,debug,,,
bluedog_Saturn_S1B_Fin,debug,,,
bluedog_Saturn_S1B_Interstage,debug,,,
bluedog_Saturn_S1C_Airbrake,debug,,,
bluedog_Saturn_S1C_Decoupler,debug,,,
bluedog_Saturn_S1C_Tank,debug,,,
bluedog_Saturn_S1D_BoosterSkirt,debug,,,
bluedog_Saturn_S1D_Parachute,debug,,,
bluedog_Saturn_S1D_SustainerTank,debug,,,
bluedog_Saturn_S1D_Vernier,debug,,,
bluedog_Saturn_S1E_Tank,debug,,,
bluedog_Saturn_S1_Tanks,debug,,,
bluedog_Saturn_S2_3p75_mount,debug,,,
bluedog_Saturn_S2_Fin,debug,,,
bluedog_Saturn_S2_Tank,debug,,,
bluedog_Saturn_S4B_APS_200,debug,,,
bluedog_Saturn_S4B_APS_500,debug,,,
bluedog_Saturn_S4B_CentaurTruss,debug,,,
bluedog_Saturn_S4B_SLA_JettisonBase,debug,,,
bluedog_Saturn_S4B_SLA_JettisonPanel,debug,,,
bluedog_Saturn_S4B_Tank,debug,,,
bluedog_Saturn_S4B_Ullage,debug,,,
bluedog_Saturn_S4_2p5m_spacecraftAdapter,debug,,,
bluedog_Saturn_S4_Tank,debug,,,
bluedog_Saturn_Engine_J2A2,debug,,,
bluedog_Skylab_ACS,debug,,,
bluedog_Skylab_airlockModule,debug,,,
bluedog_Skylab_ATM_antenna,debug,,,
bluedog_Skylab_ATM_core,debug,,,
bluedog_Skylab_ATM_experiments,debug,,,
bluedog_Skylab_ATM_solar,debug,,,
bluedog_skylab_ATM_truss,debug,,,
bluedog_Skylab_discone_antenna,debug,,,
bluedog_skylab_dockingTarget,debug,,,
bluedog_Skylab_EOSS_aftMDA,debug,,,
bluedog_Skylab_evaLight,debug,,,
bluedog_Skylab_IRspec,debug,,,
bluedog_Skylab_LB_radiometer,debug,,,
bluedog_Skylab_multipleDockingAdapter,debug,,,
bluedog_Skylab_multiSpectralScanner,debug,,,
bluedog_Skylab_parasol,debug,,,
bluedog_Skylab_radarAltimeter,debug,,,
bluedog_Skylab_RadiatorMount,debug,,,
bluedog_Skylab_RAP,debug,,,
bluedog_Skylab_solar_radio_burst_antenna,debug,,,
bluedog_skylab_solarWing,debug,,,
bluedog_skylab_structuralAdapter,debug,,,
bluedog_Skylab_VFB_antenna,debug,,,
bluedog_Skylab_VFB_boom,debug,,,
bluedog_Skylab_VFB_entryProbe,debug,,,
bluedog_Skylab_VFB_ESM,debug,,,
bluedog_Skylab_VFB_lightweightWetWorkshop,debug,,,
bluedog_Skylab_VFB_probeDispenser,debug,,,
bluedog_Skylab_VFB_solarPanel,debug,,,
bluedog_Skylab_VFB_telescope,debug,,,
bluedog_Skylab_WetWorkshop,debug,,,
bluedog_Skylab_Workshop,debug,,,
bluedog_Spacelab_airlockModule,debug,,,
bluedog_spacelab_europeanModule,debug,,,
bluedog_spacelab_forwardAdapter,debug,,,
bluedog_Spacelab_handrail,debug,,,
bluedog_spacelab_SciencePallet,debug,,,
bluedog_spacelab_solarWing,debug,,,
