PART_name,Tier,Category,SSS Category,Resource-1,Resource-2,Resource-3,
bluedog_Mercury_Capsule,5,Pods,capsules,ElectricCharge:50,MonoPropellant:15,,"@PART[bluedog_Mercury_Capsule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules5

}"
bluedog_Mercury_LES,5,Utility,capsules,,,,"@PART[bluedog_Mercury_LES]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules5

}"
bluedog_mercuryLES,5,none,capsules,,,,"@PART[bluedog_mercuryLES]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules5

}"
bluedog_mercuryPod,5,none,capsules,,,,"@PART[bluedog_mercuryPod]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules5

}"
bluedog_Gemini_Crew_A,6,none,capsules,ElectricCharge:50,,,"@PART[bluedog_Gemini_Crew_A]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules6

}"
bluedog_Gemini_Crew_B,6,none,capsules,,,,"@PART[bluedog_Gemini_Crew_B]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules6

}"
bluedog_Gemini_Crew_C,6,none,capsules,,,,"@PART[bluedog_Gemini_Crew_C]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules6

}"
bluedog_Gemini_LES,6,Utility,capsules,,,,"@PART[bluedog_Gemini_LES]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules6

}"
bluedog_BigG_Cabin,7,Pods,capsules,,,,"@PART[bluedog_BigG_Cabin]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules7

}"
bluedog_Gemini_Capsule,6,Pods,capsules,,,,"@PART[bluedog_Gemini_Capsule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules6

}"
bluedog_Gemini_RadarEvaluationPod,7,Pods,capsules,SolidFuel:1,,,"@PART[bluedog_Gemini_RadarEvaluationPod]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules7

}"
bluedog_Gemini_RumbleSeat,7,Pods,capsules,ElectricCharge:60,,,"@PART[bluedog_Gemini_RumbleSeat]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules7

}"
bluedog_Apollo_Block2_Capsule,8,Pods,capsules,,,,"@PART[bluedog_Apollo_Block2_Capsule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules8

}"
bluedog_Apollo_Block2_LES,8,Utility,capsules,,,,"@PART[bluedog_Apollo_Block2_LES]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules8

}"
bluedog_Apollo_Block3_Capsule,9,Pods,capsules,,,,"@PART[bluedog_Apollo_Block3_Capsule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules9

}"
bluedog_Apollo_Block3_MissionModule,9,Utility,capsules,ElectricCharge:30,,,"@PART[bluedog_Apollo_Block3_MissionModule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules9

}"
bluedog_Apollo_Block4_MissionModule,9,Utility,capsules,,,,"@PART[bluedog_Apollo_Block4_MissionModule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules9

}"
bluedog_Saturn_VFB_MissionModule,9,Utility,capsules,,,,"@PART[bluedog_Saturn_VFB_MissionModule]:AFTER[Bluedog_DB] //
{
	@TechRequired = capsules9

}"
bluedog_Biosat_Antenna,2,Communication,comms,Ablator:10,,,"@PART[bluedog_Biosat_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_dipole,2,none,comms,,,,"@PART[bluedog_dipole]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_domeAntenna,2,none,comms,,,,"@PART[bluedog_domeAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_HoopAntenna,2,Communication,comms,,,,"@PART[bluedog_HoopAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_OFO_Antenna,2,Communication,comms,,,,"@PART[bluedog_OFO_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_POPPY_Antenna,2,Communication,comms,,,,"@PART[bluedog_POPPY_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_simpleAntenna,2,none,comms,,,,"@PART[bluedog_simpleAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms2

}"
bluedog_Courier_Core,3,Pods,comms,MonoPropellant:0_2,SolidFuel:0_37,,"@PART[bluedog_Courier_Core]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_IDCSP_Probe,3,Pods,comms,,,,"@PART[bluedog_IDCSP_Probe]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Oscar1,3,Communication,comms,,,,"@PART[bluedog_Oscar1]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Pioneer6_MainAntenna,3,Communication,comms,,,,"@PART[bluedog_Pioneer6_MainAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Pioneer6_StanfordAntenna,3,Communication,comms,ElectricCharge:300,,,"@PART[bluedog_Pioneer6_StanfordAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_PioneerAble_Antenna,3,Communication,comms,,,,"@PART[bluedog_PioneerAble_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Relay_Antenna,3,Communication,comms,,,,"@PART[bluedog_Relay_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Relay_Core,3,Pods,comms,,,,"@PART[bluedog_Relay_Core]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_telstar,3,none,comms,,,,"@PART[bluedog_telstar]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Telstar_Antenna,3,Communication,comms,,,,"@PART[bluedog_Telstar_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_Telstar_Core,3,Pods,comms,,,,"@PART[bluedog_Telstar_Core]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_TTS1,3,Pods,comms,,,,"@PART[bluedog_TTS1]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms3

}"
bluedog_AIMP_Antenna,4,Communication,comms,,,,"@PART[bluedog_AIMP_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Alouette_Antenna,4,Communication,comms,,,,"@PART[bluedog_Alouette_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_LunarOrbiter_Antenna,4,Communication,comms,,,,"@PART[bluedog_LunarOrbiter_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_LunarOrbiter_Dish,4,Communication,comms,,,,"@PART[bluedog_LunarOrbiter_Dish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Nimbus_BeaconAntenna,4,Communication,comms,,,,"@PART[bluedog_Nimbus_BeaconAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Nimbus_EarlyCommandAntenna,4,Communication,comms,,,,"@PART[bluedog_Nimbus_EarlyCommandAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Nimbus_LateCommandAntenna,4,Communication,comms,,,,"@PART[bluedog_Nimbus_LateCommandAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Nimbus_SBandAntenna,4,Communication,comms,,,,"@PART[bluedog_Nimbus_SBandAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Ranger_Block2_OmniAntenna,4,Communication,comms,,,,"@PART[bluedog_Ranger_Block2_OmniAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Ranger_Dish,4,Communication,comms,ElectricCharge:150,MonoPropellant:30,,"@PART[bluedog_Ranger_Dish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Ranger_Lander_Antenna,4,Communication,comms,,,,"@PART[bluedog_Ranger_Lander_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Ranger_OmniAntenna,4,Communication,comms,,,,"@PART[bluedog_Ranger_OmniAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_rangerDish,4,none,comms,,,,"@PART[bluedog_rangerDish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms4

}"
bluedog_Clementine_HGA,5,Communication,comms,,,,"@PART[bluedog_Clementine_HGA]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_Clementine_ISAS_Antenna,5,Communication,comms,ElectricCharge:40,,,"@PART[bluedog_Clementine_ISAS_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_mariner2Antenna,5,none,comms,,,,"@PART[bluedog_mariner2Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_mariner4Antenna,5,Communication,comms,,,,"@PART[bluedog_mariner4Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_mariner4Dish,5,none,comms,ElectricCharge:100,,,"@PART[bluedog_mariner4Dish]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_Mercury_AntennaNose,5,Utility,comms,ElectricCharge:100,,,"@PART[bluedog_Mercury_AntennaNose]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_OAO_antenna,5,Communication,comms,,,,"@PART[bluedog_OAO_antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_OGO_HighGainAntenna,5,Communication,comms,,,,"@PART[bluedog_OGO_HighGainAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_solarAntenna,5,Communication,comms,,,,"@PART[bluedog_solarAntenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_Transit5_Antenna,5,Communication,comms,Ablator:800,,,"@PART[bluedog_Transit5_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
bluedog_Transit5_SOOS_Antenna,5,Communication,comms,,,,"@PART[bluedog_Transit5_SOOS_Antenna]:AFTER[Bluedog_DB] //
{
	@TechRequired = comms5

}"
