PART.name,Tier,Category,SSS Category,Resource-1,Resource-2,Resource-3
cryoengine-stromboli-1,5,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-hecate-1,8,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-vesuvius-1,6,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-erebus-1,7,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-pavonis-1,8,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-fuji-1,8,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-ulysses-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-etna-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-tharsis-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-compsognathus-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-hawk-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-buzzard-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-deinonychus-1,10,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-harrier-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-iguanodon-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-allosaur-1,9,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-eagle-1,10,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-tyrannosaur-1,10,Propulsion,Cryogenic Engines,ElectricCharge:0,,
cryoengine-vulture-1,10,Propulsion,Cryogenic Engines,ElectricCharge:0,,
