PART.name,Category,SSS Category,Resource-1,Resource-2,Resource-3
hydrogen-10-1,FuelTank,Tanks,,,
hydrogen-125-1,FuelTank,Tanks,,,
hydrogen-125-2,FuelTank,Tanks,,,
hydrogen-25-1,FuelTank,Tanks,,,
hydrogen-25-2,FuelTank,Tanks,,,
hydrogen-25-3,FuelTank,Tanks,,,
hydrogen-375-1,FuelTank,Tanks,,,
hydrogen-375-2,FuelTank,Tanks,,,
hydrogen-375-3,FuelTank,Tanks,,,
hydrogen-5-1,FuelTank,Tanks,,,
hydrogen-5-2,FuelTank,Tanks,,,
hydrogen-5-3,FuelTank,Tanks,,,
hydrogen-radial-125-1,FuelTank,Tanks,,,
hydrogen-radial-25-1,FuelTank,Tanks,,,
hydrogen-radial-375-1,FuelTank,Tanks,,,
