PART.name,SSS Category,Tier,Mod,Result,Category,
sweptWing,aerodynamics,1,Squad,"@PART[sweptWing]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
tailfin,aerodynamics,1,Squad,"@PART[tailfin]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
airplaneTail,aerodynamics,1,Squad,"@PART[airplaneTail]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
airplaneTailB,aerodynamics,1,Squad,"@PART[airplaneTailB]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
wingConnector,aerodynamics,1,Squad,"@PART[wingConnector]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
wingConnector2,aerodynamics,1,Squad,"@PART[wingConnector2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
wingConnector3,aerodynamics,1,Squad,"@PART[wingConnector3]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
wingConnector4,aerodynamics,1,Squad,"@PART[wingConnector4]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
wingConnector5,aerodynamics,1,Squad,"@PART[wingConnector5]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
deltaWing,aerodynamics,1,Squad,"@PART[deltaWing]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
delta.small,aerodynamics,1,Squad,"@PART[delta.small]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
StandardCtrlSrf,aerodynamics,1,Squad,"@PART[StandardCtrlSrf]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
elevon2,aerodynamics,1,Squad,"@PART[elevon2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
elevon3,aerodynamics,1,Squad,"@PART[elevon3]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
smallCtrlSrf,aerodynamics,1,Squad,"@PART[smallCtrlSrf]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
elevon5,aerodynamics,1,Squad,"@PART[elevon5]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
wingStrake,aerodynamics,1,Squad,"@PART[wingStrake]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
structuralWing,aerodynamics,1,Squad,"@PART[structuralWing]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
structuralWing2,aerodynamics,1,Squad,"@PART[structuralWing2]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
structuralWing3,aerodynamics,1,Squad,"@PART[structuralWing3]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
structuralWing4,aerodynamics,1,Squad,"@PART[structuralWing4]:AFTER[Squad] //
{
	@TechRequired = aerodynamics1
}",Aero,
