PART.name,Tier,Category,SSS Category,Resource-1,Resource-2,Resource-3
airbrake1,,Aero,Aerodynamics,,,
airScoop,,Aero,Aerodynamics,IntakeAir:2,,
AdvancedCanard,,Aero,Aerodynamics,,,
CanardController,,Aero,Aerodynamics,,,
sweptWing,,Aero,Aerodynamics,,,
tailfin,,Aero,Aerodynamics,,,
CircularIntake,,Aero,Aerodynamics,IntakeAir:2,,
shockConeIntake,,Aero,Aerodynamics,IntakeAir:2,,
airplaneTail,,Aero,Aerodynamics,,,
airplaneTailB,,Aero,Aerodynamics,,,
IntakeRadialLong,,Aero,Aerodynamics,IntakeAir:0.5,,
miniIntake,,Aero,Aerodynamics,IntakeAir:0.5,,
ramAirIntake,,Aero,Aerodynamics,IntakeAir:2,,
wingShuttleDelta,,Aero,Aerodynamics,LiquidFuel:300,,
wingShuttleElevon1,,Aero,Aerodynamics,,,
wingShuttleElevon2,,Aero,Aerodynamics,,,
wingShuttleRudder,,Aero,Aerodynamics,,,
wingShuttleStrake,,Aero,Aerodynamics,LiquidFuel:100,,
wingConnector,,Aero,Aerodynamics,,,
wingConnector2,,Aero,Aerodynamics,,,
wingConnector3,,Aero,Aerodynamics,,,
wingConnector4,,Aero,Aerodynamics,,,
wingConnector5,,Aero,Aerodynamics,,,
deltaWing,,Aero,Aerodynamics,,,
delta.small,,Aero,Aerodynamics,,,
StandardCtrlSrf,,Aero,Aerodynamics,,,
elevon2,,Aero,Aerodynamics,,,
elevon3,,Aero,Aerodynamics,,,
smallCtrlSrf,,Aero,Aerodynamics,,,
elevon5,,Aero,Aerodynamics,,,
wingStrake,,Aero,Aerodynamics,,,
structuralWing,,Aero,Aerodynamics,,,
structuralWing2,,Aero,Aerodynamics,,,
structuralWing3,,Aero,Aerodynamics,,,
structuralWing4,,Aero,Aerodynamics,,,
sweptWing1,,Aero,Aerodynamics,,,
sweptWing2,,Aero,Aerodynamics,,,
adapterMk3-Mk2,8,FuelTank,Aerodynamics,,,
adapterEngines,,Structural,Aerodynamics,,,
adapterMk3-Size2,8,FuelTank,Aerodynamics,,,
adapterMk3-Size2Slant,8,FuelTank,Aerodynamics,,,
adapterSize2-Mk2,6,FuelTank,Aerodynamics,,,
adapterSize3-Mk3,8,FuelTank,Aerodynamics,,,
mk2.1m.Bicoupler,6,Propulsion,Aerodynamics,,,
mk2.1m.AdapterLong,6,Propulsion,Aerodynamics,,,
mk2SpacePlaneAdapter,6,Propulsion,Aerodynamics,,,
mk2FuselageLongLFO,6,Propulsion,Aerodynamics,,,
mk2Fuselage,6,Propulsion,Aerodynamics,LiquidFuel:800,,
mk2FuselageShortLFO,6,Propulsion,Aerodynamics,,,
mk2FuselageShortLiquid,6,Propulsion,Aerodynamics,LiquidFuel:400,,
mk2FuselageShortMono,6,Propulsion,Aerodynamics,MonoPropellant:400,,
mk3CrewCabin,8,Utility,Aerodynamics,,,
mk3FuselageLFO.100,8,FuelTank,Aerodynamics,,,
mk3FuselageLFO.25,8,FuelTank,Aerodynamics,,,
mk3FuselageLFO.50,8,FuelTank,Aerodynamics,,,
mk3FuselageLF.100,8,FuelTank,Aerodynamics,LiquidFuel:10000,,
mk3FuselageLF.25,8,FuelTank,Aerodynamics,LiquidFuel:2500,,
mk3FuselageLF.50,8,FuelTank,Aerodynamics,LiquidFuel:5000,,
mk3FuselageMONO,8,FuelTank,Aerodynamics,MonoPropellant:2100,,
radialEngineBody,,Aero,Aerodynamics,IntakeAir:5,,
nacelleBody,,Aero,Aerodynamics,IntakeAir:5,,
MK1Fuselage,,FuelTank,Aerodynamics,LiquidFuel:400,,
MK1IntakeFuselage,2,Aero,Aerodynamics,IntakeAir:2,,
Mk1FuselageStructural,2,Structural,Aerodynamics,,,
mk2CargoBayL,6,Payload,Aerodynamics,,,
mk2CargoBayS,6,Payload,Aerodynamics,,,
mk2CrewCabin,6,Utility,Aerodynamics,,,
mk3CargoBayL,8,Payload,Aerodynamics,,,
mk3CargoBayM,8,Payload,Aerodynamics,,,
mk3CargoRamp,8,Payload,Aerodynamics,,,
mk3CargoBayS,8,Payload,Aerodynamics,,,
seatExternalCmd,1,Pods,Aviation,,,
crewCabin,2,Utility,Aviation,,MonoPropellant:10,
Mark1Cockpit,2,Pods,Aviation,ElectricCharge:50,,
MK1CrewCabin,2,Utility,Aviation,,,
mk1pod.v2,5,Pods,Capsules,ElectricCharge:50,,
LaunchEscapeSystem,,Utility,Capsules,SolidFuel:30,,
mk1-3pod,9,Pods,Command Pods,ElectricCharge:150,MonoPropellant:30,
airlinerCtrlSrf,7,Aero,Commerical Aviation,,MonoPropellant:7.5,
airlinerMainWing,7,Aero,Commerical Aviation,LiquidFuel:600,,
airlinerTailFin,7,Aero,Commerical Aviation,,MonoPropellant:7.5,
JetEngine,,Engine,Commerical Aviation,,MonoPropellant:15,
